,,,,,,,
ID,Name,Authors,Year,Link,Technique,Application,Note
General,A Wearable Flexible Sensor Network Platform for the Analysis of Different Sport Movements,"Schmidt, M., Wille, S., Rheinländer, C., Wehn, N., Jaitner, T.",2018,A Wearable Flexible Sensor Network Platform for the Analysis of Different Sport Movements | Springer Nature Link,Sensors,Sport Movement,Data is analyzed on the sensor itself via embedded real-time algorithms
General,Common Sport Movement Recognition from Wearable Inertial Sensor,"Norazman Shahar, Nurul Fathiah Ghazali, NurAkmal Yahya, Muhammad Amir As’ari",2020,- E4597018520: International Journal Of Recent Technology And Engineering (IJRTE),Sensors,Sport Movement,"(Support Vector Machine (SVM), k Nearest Neighbor (k-NN) and Decision Tree"
General,Comparison of the validity and reliability of local positioning systems against other tracking technologies in team sport: A systematic review,"Jose ́ Pino-Ortega, Jose ́ M Oliva-Lozano , Petrus Gantois , Fabio Yuzo Nakamura and Markel Rico-Gonzalez",2020,"Comparison of the validity and reliability of local positioning systems against other tracking technologies in team sport: A systematic review - José Pino-Ortega, José M Oliva-Lozano, Petrus Gantois, Fábio Yuzo Nakamura, Markel Rico-González, 2022","LPS, camera",tracking,"Comparison between LPS, GPS and video tracking"
General,Design of a marker-based human motion tracking system,"A. Kolahi,M. Hoviattalab, T. Rezaeian, M. Alizadeh, M. Bostan, H. Mokhtarzadeh",2007,Design of a marker-based human motion tracking system - ScienceDirect,"Marker, camera",tracking,high speed optical motion analyzer system
General,Machine Learning-Based Detection of Sport-Specific Jumps Using Wearable Inertial Sensor,Luna Panni; Federico Citarelli; Gloria Cosoli; Lorenzo Scalise; Marco Arnesano,2025,Machine Learning-Based Detection of Sport-Specific Jumps Using Wearable Inertial Sensor,Sensors,Sport Jumps,lightweight Multi-Layer Perceptron (MLP) classifier
General,The Application of Inertial Sensors in Elite Sports Monitoring | Springer Nature Link,"James, D.A.",2006,The Application of Inertial Sensors in Elite Sports Monitoring | Springer Nature Link,Sensors,Performance monitoring,"Laboratory testing, not very informative due to lab limitations"
General,The Reliability of a Real Time Wearable Sensing Device to Measure Vertical Jump,"Islam Mahmoud b, Ayman Ali Ahmed Othman c, Emad Abdelrasoul c, Pro Stergiou a, Larry Katz",2015,The Reliability of a Real Time Wearable Sensing Device to Measure Vertical Jump - ScienceDirect,"Sensors (VERT), Camera (Dartfish)",Jumps height,The objective was to compare the recorded VERT height with a video analysis using Dartfish
General,The Use of Wearable Microsensors to Quantify Sport-Specific Movements,"Ryan Chambers,Tim J. Gabbett,Michael H. Cole &Adam Beard",2015,The Use of Wearable Microsensors to Quantify Sport-Specific Movements | Sports Medicine | Springer Nature Link,Sensors,Sport Movement,Review of sensors used to determine the locomotor demand 
General,Vertical jump diagnosis for multiple athletes using a wearable inertial sensor unit,"Thomas Jaitner, Marcus Schmidt, Kevin Nolte, Carl Rheinlander, Sebastian White, Norbert Wehn",2016,"Vertical jump diagnosis for multiple athletes using a wearable inertial sensor unit: Sports Technology: Vol 8 , No 1-2 - Get Access",Sensors,Sport Jumps,"Onboard processing using Stance and Flight duration, then sent via BLE"
General,Wearable Sensor Device for the Acquisition of High Dynamic Movements in Sport,"Romano, Lia; Altieri, Anna Federica; Tomažič, Sašo; and Umek, Anton",2019,p5.pdf,Sensors,Sport Movement,Develop and implement a wearable sensor device that supports real-time biofeedback applications in sports
General,Wearable sensors for monitoring the physiological and biochemical profile of the athlete,"Dhruv R. Seshadri, Ryan T. Li, James E. Voos, James R. Rowbottom, Celeste M. Alfes, Christian A. Zorman & Colin K. Drummond ",2019,Wearable sensors for monitoring the physiological and biochemical profile of the athlete | npj Digital Medicine,Sensors,Athletes monitoring,Quantify biochemical analytes and physiological parameters
Volley,A simple method for quantifying jump loads in volleyball athletes,"Paula C. Charlton a, Claire Kenneally-Dabrowski, Jeremy Sheppard, Wayne Spratford",2017,A simple method for quantifying jump loads in volleyball athletes - ScienceDirect,Sensor(VERT),Sport Jumps,Vert algorithm validation
Volley,A Super-Bagging Method for Volleyball Action Recognition Using Wearable Sensors,"Fasih Haider1, Fahim A. Salim,Dees B.W. Postma,Robby van Delden,Dennis Reidsma,Bert-Jan van Beijnum2 and Saturnino Luz1",2020,A Super-Bagging Method for Volleyball Action Recognition Using Wearable Sensors | MDPI,Sensors,Volleyball action recognition,Machine learning methods (balanced and unbalanced)
Volley,Enhancing volleyball training: empowering athletes and coaches through advanced sensing and analysis,"Salim FA, Postma DBW, Haider F, Luz S, Beijnum B-JF and Reidsma D",2024,Frontiers | Enhancing volleyball training: empowering athletes and coaches through advanced sensing and analysis,Sensors,Volleyball action recognition,Convolutional Neural Network used for action recognition
Volley,ESTIMATION OF THE JUMP HEIGHT FOR THE VOLLEYBALL SPIKE BY A MOBILE IMU UNIT,"Thomas Jaitner, Georg Ebker, Marcus Schmidt",2017,"""ESTIMATION OF THE JUMP HEIGHT FOR THE VOLLEYBALL SPIKE BY A MOBILE IMU"" by Thomas Jaitner, Georg Ebker et al.",Sensors,Jumps height,Develop and validate a mobile device based on inertial sensors as an alternative for in-field diagnostics
Volley,Modeling Match Performance in Elite Volleyball Players: Importance of Jump Load and Strength Training Characteristics,"Arie-Willem de Leeuw,Rick van Baar, Arno Knobbe and Stephan van der Zwaard",2022,Modeling Match Performance in Elite Volleyball Players: Importance of Jump Load and Strength Training Characteristics | MDPI,Sensors,Jumps height,"Machine learning techniques XGBoost, random forest regression and subgroup discovery."
Volley,Optimizing position-specific preparation: Long-term pre-match warm-up external load analysis using micro-sensor integrated LPS in elite female volleyball players,"Altundağ, E., Cengizel, E., Akarçeşme, C. et al.",2025,"Optimizing position-specific preparation: Long-term pre-match warm-up external load analysis using micro-sensor integrated LPS in elite female volleyball players | BMC Sports Science, Medicine and Rehabilitation | Springer Nature Link","Sensors, LPS",Jumps and other movements,"Assess warm up load, compare it by player position"
Volley,"Use, Validity and Reliability of Inertial Movement Units in Volleyball: Systematic Review of the Scientific Literature","Diego Hernán Villarejo-García, Adrián Moreno-Villanueva, Alejandro Soler-López, Pedro Reche-Soto, José Pino-Ortega",2023,"Use, Validity and Reliability of Inertial Movement Units in Volleyball: Systematic Review of the Scientific Literature - PMC","Sensor, LPS",Jumps height,Examine the validity and reliability of multiple devices for measuring jump height
Volley,Validity and reliability of GPS and LPS for measuring distances covered and sprint mechanical properties in team sports | PLOS One,"Matthias W. Hoppe,Christian Baumgart,Ted Polglaze,Jürgen Freiwald",2018,Validity and reliability of GPS and LPS for measuring distances covered and sprint mechanical properties in team sports | PLOS One,"GPS, LPS","Distances, sprint",Validity and reliability of global (GPS) and local (LPS) positioning systems for measuring distances covered and sprint mechanical properties in team sports
Basket,Basketball Activity Recognition using Wearable Inertial Measurement Units,"Nguyen, Le Nguyen Ngu and Rodriguez-Martin, Daniel and Catala, Andreu and Perez-Lopez, Carlos and Sama, Albert and Cavallaro, Andrea",2015,Basketball Activity Recognition using Wearable Inertial Measurement Units | Proceedings of the XVI International Conference on Human Computer Interaction,Sensor,Activity recognition,Analysis and evaluation of human movement
Basket,Hang-Time HAR: A Benchmark Dataset for Basketball Activity Recognition Using Wrist-Worn Inertial Sensors,"Alexander Hoelzemann, Julia Lee Romero, Marius Bock, Kristof Van Laerhoven and Qin Lv",2023,Hang-Time HAR: A Benchmark Dataset for Basketball Activity Recognition Using Wrist-Worn Inertial Sensors | MDPI,Sensor,Activity recognition,"benchmark dataset for evaluating physical human activity recognition methods from wrist-worn sensors, for the specific setting of basketball training, drills, and games."
Basket,KINEMATIC PARAMETERS OF JUMP SHOT IN ELITE MALE BASKETBALL PLAYERS,"Emilija Stojanović, Marko Radenković, Saša Bubanj, Ratko Stanković",2019,"KINEMATIC PARAMETERS OF JUMP SHOT IN ELITE MALE BASKETBALL PLAYERS | Stojanović | Facta Universitatis, Series: Physical Education and Sport",Sensor,Activity recognition,"determine kinematic parameters of jump shot in elite male basketball players, by analyzing the release time for shooting, the angle of entry, and ball spin"